"clean","intermediate","amalgamated","included in"
"Gochnatia","Gochnatia","Gochnatia","neotoma_north_america_pollen, neotoma_south_america_pollen"
"Gomortega keule","Gomortega keule","Gomortega","neotoma_south_america_pollen"
"Gompholobium baxteri","Gompholobium","Gompholobium","australia_pollen"
"Gomphrena","Gomphrena","Amaranthaceae","australia_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Gomphrena type","Gomphrena","Amaranthaceae","neotoma_north_america_pollen, neotoma_south_america_pollen"
"Gomphrena/Pfaffia","Gomphrena/Pfaffia","Amaranthaceae","neotoma_south_america_pollen"
"Gonatanthus","Gonatanthus","Araceae","CMPD, SMPDSv1"
"Gongrostylus costaricensis","Gongrostylus","Asteroideae","neotropics_pollen"
"Gongylolepis","Gongylolepis","Gongylolepis","neotoma_south_america_pollen"
"Goniolimon","Goniolimon","Plumbaginaceae","EMPDv2, SMPDSv1"
"Goniophlebium","Goniophlebium","Polypodiales","australia_pollen"
"Gonocalyx","Gonocalyx","Ericaceae","neotropics_pollen"
"Gonocarpus","Gonocarpus","Gonocarpus","australia_pollen"
"Gonocarpus micranthus","Gonocarpus micranthus","Gonocarpus","CMPD, SMPDSv1"
"Gonocarpus type","Gonocarpus","Gonocarpus","australia_pollen"
"Gonocarpus/Haloragis","Gonocarpus/Haloragis","Haloragaceae","australia_pollen"
"Goodenia","Goodenia","Goodenia","australia_pollen"
"Goodeniaceae","Goodeniaceae","Goodeniaceae","australia_pollen, southern_hemisphere_pollen"
"Gordonia","Gordonia","Gordonia","CMPD, neotoma_north_america_pollen, neotoma_south_america_pollen, SMPDSv1"
"Gordonia fruticosa","Gordonia fruticosa","Gordonia","neotoma_south_america_pollen"
"Gossia type","Gossia","Gossia","australia_pollen"
"Gossypium","Gossypium","Malvaceae","neotropics_pollen"
"Gossypium type","Gossypium","Malvaceae","neotoma_south_america_pollen"
"Gouania","Gouania","Gouania","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Gouania type","Gouania","Gouania","australia_pollen"
"Goupia type","Goupia","Goupia","neotoma_south_america_pollen"
"Grammitis","Grammitis","Polypodiales","australia_pollen, EMPDv2, neotoma_south_america_pollen, SMPDSv1, southern_hemisphere_pollen"
"Grammitis moniliformis","Grammitis","Polypodiales","neotoma_south_america_pollen"
"Grammitis type","Grammitis","Polypodiales","neotoma_south_america_pollen"
"Gratiola","Gratiola","Plantaginaceae","australia_pollen"
"Gratiola officinalis","Gratiola","Plantaginaceae","EMPDv2, SMPDSv1"
"Greigia","Greigia","Bromeliaceae","neotoma_south_america_pollen"
"Grevillea","Grevillea","Grevillea","australia_pollen"
"Grevillea acanthifolia","Grevillea acanthifolia","Grevillea","australia_pollen"
"Grevillea australis","Grevillea australis","Grevillea","australia_pollen"
"Grevillea glauca","Grevillea glauca","Grevillea","australia_pollen"
"Grevillea sphacelata","Grevillea sphacelata","Grevillea","australia_pollen"
"Grevillea type","Grevillea","Grevillea","australia_pollen"
"Grevillea/Hakea","Grevillea/Hakea","Proteaceae","australia_pollen"
"Grevillea/Persoonia","Grevillea/Persoonia","Proteaceae","australia_pollen"
"Grewia","Grewia","Grewia","CMPD, Herzschuh, Phelps, SMPDSv1"
"Grewia type","Grewia","Grewia","APD, Phelps, SMPDSv1"
"Grias","Grias","Grias","neotoma_south_america_pollen"
"Griselinia","Griselinia","Griselinia","australia_pollen, neotoma_south_america_pollen, southern_hemisphere_pollen"
"Griselinia ruscifolia type","Griselinia ruscifolia","Griselinia","neotoma_south_america_pollen"
"Griselinia type","Griselinia","Griselinia","neotoma_south_america_pollen"
"Grossulariaceae","Grossulariaceae","Grossulariaceae","neotoma_north_america_pollen, SMPDSv1"
"Guaiacum","Guaiacum","Zygophyllaceae","neotoma_north_america_pollen"
"Guaiacum officinale","Guaiacum officinale","Guaiacum","neotropics_pollen"
"Guapira","Guapira","Guapira","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Guarea","Guarea","Guarea","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Guarea type","Guarea","Guarea","neotoma_south_america_pollen"
"Guatteria","Guatteria","Guatteria","neotoma_south_america_pollen"
"Guazuma","Guazuma","Guazuma","neotoma_south_america_pollen, neotropics_pollen"
"Guazuma type","Guazuma","Guazuma","neotoma_south_america_pollen"
"Guettarda","Guettarda","Guettarda","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Guettarda type","Guettarda","Guettarda","neotoma_south_america_pollen"
"Gundelia type","Gundelia","Carduoideae","EMBSeCBIO"
"Gunnera","Gunnera","Gunneraceae","australia_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, southern_hemisphere_pollen"
"Gunnera manicata","Gunnera","Gunneraceae","neotoma_south_america_pollen"
"Gunnera perpensa","Gunnera","Gunneraceae","APD, SMPDSv1"
"Gunnera/Mabea","Gunnera/Mabea","Gunneraceae","neotoma_south_america_pollen"
"Gustavia","Gustavia","Gustavia","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Gustavia type","Gustavia","Gustavia","neotoma_south_america_pollen"
"Gymnanthes","Gymnanthes","Gymnanthes","neotoma_north_america_pollen"
"Gymnocarpium","Gymnocarpium","Polypodiales","EMPDv2, gaillard_pollen, neotoma_north_america_pollen, SMPDSv1"
"Gymnocarpium dryopteris","Gymnocarpium","Polypodiales","EMPDv2, SMPDSv1"
"Gymnocarpium dryopteris type","Gymnocarpium","Polypodiales","neotoma_north_america_pollen"
"Gymnocarpium robertianum","Gymnocarpium","Polypodiales","neotoma_north_america_pollen"
"Gymnocarpium type","Gymnocarpium","Polypodiales","neotoma_north_america_pollen"
"Gymnopodium","Gymnopodium","Gymnopodium","neotoma_north_america_pollen"
"Gymnoschoenus","Gymnoschoenus","Cyperaceae","australia_pollen, southern_hemisphere_pollen"
"Gymnoschoenus sphaerocephalus","Gymnoschoenus","Cyperaceae","australia_pollen"
"Gymnoschoenus/Machaerina","Gymnoschoenus/Machaerina","Cyperaceae","australia_pollen"
"Gymnosporia","Gymnosporia","Gymnosporia","Phelps"
"Gymnosporia senegalensis type","Gymnosporia senegalensis","Gymnosporia","APD, Phelps, SMPDSv1"
"Gynostemma","Gynostemma","Gynostemma","CMPD, SMPDSv1"
"Gynoxys","Gynoxys","Gynoxys","neotoma_south_america_pollen"
"Gynoxys type","Gynoxys","Gynoxys","neotoma_south_america_pollen"
"Gypsophila","Gypsophila","Caryophyllaceae","EMBSeCBIO, EMPDv2, gaillard_pollen, SMPDSv1, tatiana_pollen"
"Gypsophila fastigiata","Gypsophila","Caryophyllaceae","EMPDv2, SMPDSv1"
"Gypsophila repens","Gypsophila","Caryophyllaceae","EMPDv2, SMPDSv1"
"Gypsophila repens type","Gypsophila","Caryophyllaceae","EMPDv2, SMPDSv1"
"Gypsophila type","Gypsophila","Caryophyllaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Gyranthera","Gyranthera","Gyranthera","neotoma_south_america_pollen"
"Gyrostemon","Gyrostemon","Gyrostemon","australia_pollen, southern_hemisphere_pollen"
"Gyrostemonaceae","Gyrostemonaceae","Gyrostemonaceae","australia_pollen"
"Habenaria type","Habenaria","Orchidaceae","neotoma_south_america_pollen"
"Haematoxylum","Haematoxylum","Haematoxylum","neotoma_north_america_pollen"
"Haemodoraceae","Haemodoraceae","Haemodoraceae","australia_pollen"
"Hagenia abyssinica","Hagenia abyssinica","Hagenia","APD, Phelps, SMPDSv1"
"Hakea","Hakea","Hakea","australia_pollen"
"Hakea lissosperma type","Hakea lissosperma","Hakea","australia_pollen, southern_hemisphere_pollen"
"Hakea microcarpa type","Hakea microcarpa","Hakea","australia_pollen, southern_hemisphere_pollen"
"Halenia","Halenia","Gentianaceae","neotoma_south_america_pollen"
"Halfordia kendack","Halfordia kendack","Halfordia","australia_pollen"
"Halimium","Halimium","Halimium","EMPDv2, SMPDSv1"
"Halimium type","Halimium","Halimium","EMPDv2, SMPDSv1"
"Halimium/Tuberaria","Cistaceae","Cistaceae","EMPDv2, IbMPD, SMPDSv1"
"Halocarpus","Halocarpus","Halocarpus","australia_pollen, southern_hemisphere_pollen"
"Halocarpus bidwillii/Halocarpus biformis","Halocarpus bidwillii/Halocarpus biformis","Halocarpus","southern_hemisphere_pollen"
"Haloragaceae","Haloragaceae","Haloragaceae","APD, australia_pollen, CMPD, EMPDv2, Herzschuh, neotoma_north_america_pollen, neotoma_south_america_pollen, Phelps, SMPDSv1, southern_hemisphere_pollen"
"Haloragis","Haloragis","Haloragis","australia_pollen, japanese_pollen, southern_hemisphere_pollen"
"Haloragis type","Haloragis","Haloragis","australia_pollen"
"Halothamnus type","Halothamnus","Amaranthaceae","EMBSeCBIO"
"Hamamelidaceae","Hamamelidaceae","Hamamelidaceae","CMPD, EMPDv2, Herzschuh, neotoma_north_america_pollen, SMPDSv1"
"Hamamelis","Hamamelis","Hamamelis","CMPD, neotoma_north_america_pollen, SMPDSv1"
"Hamamelis virginiana","Hamamelis virginiana","Hamamelis","neotoma_north_america_pollen"
"Hamelia","Hamelia","Hamelia","neotropics_pollen"
"Haplopappus","Haplopappus","Asteroideae","neotoma_south_america_pollen, neotropics_pollen"
"Haplophyllum","Haplophyllum","Rutaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Hardenbergia","Hardenbergia","Hardenbergia","australia_pollen"
"Hedera","Hedera","Hedera","CMPD, dugerdil_pollen, EMBSeCBIO, EMPDv2, gaillard_pollen, IbMPD, moroccan_pollen, SMPDSv1"
"Hedera helix","Hedera helix","Hedera","EMBSeCBIO, EMPDv2, IbMPD, neotoma_extra, SMPDSv1"
"Hedera helix type","Hedera helix","Hedera","EMPDv2, SMPDSv1"
"Hedera type","Hedera","Hedera","EMPDv2, SMPDSv1"
"Hedycarya","Hedycarya","Hedycarya","australia_pollen, southern_hemisphere_pollen"
"Hedyosmum","Hedyosmum","Hedyosmum","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Hedyosmum brasiliense","Hedyosmum brasiliense","Hedyosmum","neotoma_south_america_pollen"
"Hedyosmum type","Hedyosmum","Hedyosmum","neotoma_south_america_pollen"
"Hedyotis","Hedyotis","Rubiaceae","CMPD, neotoma_north_america_pollen, SMPDSv1"
"Hedyotis type","Hedyotis","Rubiaceae","neotoma_south_america_pollen"
"Hedysarum","Hedysarum","Fabaceae (herbs)","CMPD, EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Hedysarum hedysaroides","Hedysarum","Fabaceae (herbs)","EMPDv2, SMPDSv1"
"Hedysarum type","Hedysarum","Fabaceae (herbs)","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Hedysarum/Ebenus","Hedysarum","Fabaceae (herbs)","EMBSeCBIO, EMPDv2, SMPDSv1"
"Heisteria","Heisteria","Heisteria","neotoma_north_america_pollen, neotropics_pollen"
"Helianthemum","Helianthemum","Helianthemum","EMBSeCBIO, EMPDv2, gaillard_pollen, IbMPD, moroccan_pollen, neotoma_north_america_pollen, SMPDSv1"
"Helianthemum croceum type","Helianthemum croceum","Helianthemum","EMPDv2, SMPDSv1"
"Helianthemum nummularium type","Helianthemum nummularium","Helianthemum","EMPDv2, neotoma_extra, SMPDSv1"
"Helianthemum salicifolium type","Helianthemum salicifolium","Helianthemum","EMPDv2, SMPDSv1"
"Helianthemum type","Helianthemum","Helianthemum","dugerdil_pollen, EMBSeCBIO, EMPDv2, IbMPD, neotoma_north_america_pollen, SMPDSv1"
"Helianthus","Helianthus","Asteroideae","EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Helianthus type","Helianthus","Asteroideae","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Helichrysum","Helichrysum","Asteroideae","Phelps"
"Helichrysum type","Gardenia","Asteroideae","APD"
"Helicia","Helicia","Helicia","australia_pollen, CMPD, SMPDSv1, southern_hemisphere_pollen"
"Helicia robusta","Helicia robusta","Helicia","australia_pollen"
"Helicia type","Helicia","Helicia","australia_pollen"
"Heliconia","Heliconia","Heliconiaceae","neotropics_pollen"
"Helicostylis","Helicostylis","Helicostylis","neotoma_south_america_pollen"
"Helicteres","Helicteres","Helicteres","australia_pollen, CMPD, SMPDSv1"
"Heliocarpus","Heliocarpus","Heliocarpus","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Heliocarpus americanus","Heliocarpus americanus","Heliocarpus","neotoma_south_america_pollen"
"Heliotropium","Heliotropium","Boraginaceae","australia_pollen, EMPDv2, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, SMPDSv1"
"Heliotropium europaeum","Heliotropium","Boraginaceae","IbMPD"
"Heliotropium type","Heliotropium","Boraginaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Heliotropium verdcourtii","Heliotropium","Boraginaceae","neotoma_south_america_pollen"
"Helleborus","Helleborus","Helleborus","EMBSeCBIO, EMPDv2, SMPDSv1"
"Helleborus foetidus","Helleborus foetidus","Helleborus","EMPDv2, SMPDSv1"
"Helleborus niger","Helleborus niger","Helleborus","EMPDv2, SMPDSv1"
"Helleborus type","Helleborus","Helleborus","EMPDv2, IbMPD, SMPDSv1"
"Helleborus viridis","Helleborus viridis","Helleborus","EMPDv2, SMPDSv1"
"Helleborus viridis type","Helleborus viridis","Helleborus","EMPDv2, SMPDSv1"
"Helwingia","Helwingia","Helwingia","CMPD, SMPDSv1"
"Hemerocallis","Hemerocallis","Asphodelaceae","CMPD, SMPDSv1"
"Hemionitis","Hemionitis","Polypodiales","APD, australia_pollen, neotoma_south_america_pollen"
"Hemionitis type","Hemionitis","Polypodiales","neotoma_south_america_pollen"
"Hemiphora elderi","Hemiphora","Lamiaceae","australia_pollen"
"Hemiphragma","Hemiphragma","Hemiphragma","CMPD, SMPDSv1"
"Hemsleya","Hemsleya","Cucurbitaceae","CMPD, SMPDSv1"
"Henriettea","Henriettea","Henriettea","neotropics_pollen"
"Hepatica","Hepatica","Ranunculaceae","EMPDv2, SMPDSv1"
"Heptapleurum actinophyllum","Heptapleurum actinophyllum","Heptapleurum","australia_pollen"
"Heracleum","Heracleum","Apiaceae","EMBSeCBIO, EMPDv2, gaillard_pollen, neotoma_north_america_pollen, SMPDSv1, tatiana_pollen"
"Heracleum laciniatum type","Heracleum","Apiaceae","SMPDSv1"
"Heracleum maximum","Heracleum","Apiaceae","neotoma_north_america_pollen"
"Heracleum sphondylium","Heracleum","Apiaceae","EMPDv2, SMPDSv1"
"Heracleum sphondylium type","Heracleum","Apiaceae","EMPDv2, neotoma_extra, SMPDSv1"
"Heracleum type","Heracleum","Apiaceae","EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Heritiera","Heritiera","Heritiera","australia_pollen, CMPD, SMPDSv1"
"Heritiera actinophylla","Heritiera actinophylla","Heritiera","australia_pollen"
"Heritiera littoralis","Heritiera littoralis","Heritiera","australia_pollen"
"Heritiera trifoliolata","Heritiera trifoliolata","Heritiera","australia_pollen"
"Heritiera utilis","Heritiera utilis","Heritiera","AMSS"
"Hermannia","Hermannia","Malvaceae","Phelps"
"Hermannia type","Hemionitis","Malvaceae","APD"
"Hernandia","Hernandia","Hernandia","neotoma_south_america_pollen"
"Herniaria","Herniaria","Caryophyllaceae","EMPDv2, IbMPD, SMPDSv1"
"Herniaria glabra","Herniaria","Caryophyllaceae","EMPDv2, SMPDSv1"
"Herniaria glabra type","Herniaria","Caryophyllaceae","IbMPD"
"Herniaria type","Herniaria","Caryophyllaceae","EMBSeCBIO, EMPDv2, IbMPD, neotoma_north_america_pollen, SMPDSv1"
"Herniaria/Paronychia","Caryophyllaceae","Caryophyllaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Herrania","Herrania","Herrania","neotoma_south_america_pollen"
"Hesperocyparis lusitanica","Hesperocyparis","Cupressaceae","APD"
"Hesperomeles","Hesperomeles","Hesperomeles","neotoma_south_america_pollen, neotropics_pollen"
"Heteromorpha","Heteromorpha","Apiaceae","Phelps"
"Heteropanax","Heteropanax","Heteropanax","CMPD, SMPDSv1"
"Heteropterys","Heteropterys","Heteropterys","neotoma_south_america_pollen, neotropics_pollen"
"Heterotis type","Heterotis","Melastomaceae","APD"
"Heuchera type","Heuchera","Saxifragaceae","neotoma_north_america_pollen"
"Hevea","Hevea","Hevea","neotoma_north_america_pollen, neotropics_pollen"
"Hevea brasiliensis","Hevea brasiliensis","Hevea","APD, Phelps"
"Hibbertia","Hibbertia","Hibbertia","australia_pollen"
"Hibbertia type","Hibbertia","Hibbertia","australia_pollen"
"Hibiscus","Hibiscus","Malvaceae","australia_pollen, EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, SMPDSv1"
"Hibiscus australensis type","Hibiscus","Malvaceae","neotoma_south_america_pollen"
"Hibiscus/Urena","Hibiscus/Urena","Malvaceae","neotoma_south_america_pollen"
"Hieracium","Hieracium","Cichorioideae","EMPDv2, neotoma_south_america_pollen, SMPDSv1"
"Hieracium type","Hieracium","Cichorioideae","EMPDv2, SMPDSv1"
"Hieronyma","Hieronyma","Hieronyma","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Hieronyma alchorneoides","Hieronyma alchorneoides","Hieronyma","neotoma_south_america_pollen"
"Hieronyma type","Hieronyma","Hieronyma","neotoma_south_america_pollen"
"Hildebrandtia obcordata type","Hildebrandtia obcordata","Hildebrandtia","Phelps"
"Hildebrandtia type","Hildebrandtia","Hildebrandtia","APD"
"Himatanthus","Himatanthus","Himatanthus","neotropics_pollen"
"Hippeastrum","Hippeastrum","Amaryllidaceae","neotoma_south_america_pollen"
"Hippocratea","Hippocratea","Celastraceae","neotoma_north_america_pollen, neotropics_pollen"
"Hippocratea type","Hippocratea","Celastraceae","neotoma_north_america_pollen"
"Hippocratea volubilis","Hippocratea","Celastraceae","neotoma_south_america_pollen"
"Hippocrepis comosa","Hippocrepis","Fabaceae (herbs)","EMPDv2, SMPDSv1"
"Hippocrepis type","Hippocrepis","Fabaceae (herbs)","EMBSeCBIO, EMPDv2, SMPDSv1"
"Hippomane","Hippomane","Hippomane","neotoma_south_america_pollen, neotropics_pollen"
"Hippomane type","Hippomane","Hippomane","neotoma_south_america_pollen"
"Hippophae","Hippophae","Hippophae","CMPD, dugerdil_pollen, EMBSeCBIO, EMPDv2, Herzschuh, SMPDSv1"
"Hippophae rhamnoides","Hippophae rhamnoides","Hippophae","EMBSeCBIO, EMPDv2, neotoma_extra, SMPDSv1, tatiana_pollen"
"Hippotis","Hippotis","Hippotis","neotoma_south_america_pollen"
"Hiptage","Hiptage","Hiptage","Herzschuh, SMPDSv1"
"Hiraea","Hiraea","Hiraea","neotoma_south_america_pollen, neotropics_pollen"
"Hirtella","Hirtella","Hirtella","neotoma_south_america_pollen, neotropics_pollen"
"Histiopteris","Histiopteris","Polypodiales","australia_pollen, neotoma_south_america_pollen, southern_hemisphere_pollen"
"Histiopteris incisa","Histiopteris","Polypodiales","australia_pollen, neotoma_south_america_pollen"
"Histiopteris type","Histiopteris","Polypodiales","australia_pollen"
"Histiopteris/Hypolepis type","Polypodiales","Polypodiales","australia_pollen"
"Hodgkinsonia","Hodgkinsonia","Hodgkinsonia","australia_pollen"
"Hoffmannia","Hoffmannia","Rubiaceae","neotropics_pollen"
"Holodiscus","Holodiscus","Holodiscus","neotoma_north_america_pollen, neotoma_south_america_pollen"
"Holodiscus type","Holodiscus","Holodiscus","neotoma_north_america_pollen"
"Holoptelea","Holoptelea","Holoptelea","Phelps"
"Holoptelea grandis","Holoptelea grandis","Holoptelea","AMSS, APD, Phelps, SMPDSv1"
"Homalanthus","Homalanthus","Euphorbiaceae","australia_pollen, neotoma_south_america_pollen, southern_hemisphere_pollen"
"Homalanthus stokesii type","Homalanthus stokesii","Euphorbiaceae","neotoma_south_america_pollen"
"Homalium","Homalium","Homalium","australia_pollen, CMPD, neotoma_south_america_pollen, SMPDSv1"
"Homalium type","Homalium","Homalium","neotoma_south_america_pollen"
"Homogyne","Homogyne","Asteroideae","EMPDv2, SMPDSv1"
"Homogyne alpina","Homogyne","Asteroideae","EMPDv2, SMPDSv1"
"Homonoia","Homonoia","Homonoia","CMPD, SMPDSv1"
"Hopea","Hopea","Hopea","CMPD, SMPDSv1"
"Hornungia","Hornungia","Brassicaceae","EMPDv2, gaillard_pollen, SMPDSv1"
"Hornungia type","Hornungia","Brassicaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Hornungia/Sinapis type","Brassicaceae","Brassicaceae","EMPDv2, SMPDSv1"
"Houstonia","Houstonia","Rubiaceae","neotoma_north_america_pollen"
"Hovea","Hovea","Hovea","australia_pollen"
"Huberodendron","Huberodendron","Huberodendron","neotropics_pollen"
"Hudsonia","Hudsonia","Cistaceae","neotoma_north_america_pollen"
"Hugonia","Hugonia","Hugonia","APD, Phelps"
"Humiria","Humiria","Humiria","neotoma_south_america_pollen"
"Humiriaceae","Humiriaceae","Humiriaceae","neotoma_south_america_pollen"
"Huperzia","Huperzia","Huperzia","australia_pollen, EMPDv2, neotoma_north_america_pollen, neotoma_south_america_pollen, SMPDSv1"
"Huperzia appressa","Huperzia","Huperzia","EMPDv2, SMPDSv1"
"Huperzia appressa type","Huperzia","Huperzia","neotoma_north_america_pollen"
"Huperzia arcuatus","Huperzia","Huperzia","neotoma_south_america_pollen"
"Huperzia arcuatus type","Huperzia","Huperzia","neotoma_south_america_pollen"
"Huperzia compacta","Huperzia","Huperzia","neotoma_south_america_pollen"
"Huperzia lucidula","Huperzia","Huperzia","neotoma_north_america_pollen"
"Huperzia lucidula type","Huperzia","Huperzia","neotoma_north_america_pollen"
"Huperzia phlegmaria type","Huperzia","Huperzia","australia_pollen"
"Huperzia polycarpos type","Huperzia","Huperzia","neotoma_south_america_pollen"
"Huperzia selago","Huperzia","Huperzia","australia_pollen, EMBSeCBIO, EMPDv2, IbMPD, neotoma_north_america_pollen, neotoma_south_america_pollen, neotoma_extra, SMPDSv1, southern_hemisphere_pollen"
"Huperzia selago type","Huperzia","Huperzia","EMPDv2, neotoma_north_america_pollen, neotoma_south_america_pollen, SMPDSv1"
"Huperzia selago/Huperzia lucidula","Huperzia","Huperzia","neotoma_north_america_pollen"
"Huperzia serrata type","Huperzia","Huperzia","japanese_pollen, neotoma_north_america_pollen"
"Huperzia type","Huperzia","Huperzia","neotoma_north_america_pollen, neotoma_south_america_pollen"
"Huperzia varia","Huperzia","Huperzia","australia_pollen, southern_hemisphere_pollen"
"Huperzia varia type","Huperzia","Huperzia","australia_pollen"
"Hura","Hura","Hura","neotropics_pollen"
"Hura type","Hura","Hura","neotoma_south_america_pollen"
"Hybanthus","Hybanthus","Violaceae","neotropics_pollen"
"Hydrangea","Hydrangea","Hydrangea","CMPD, EMPDv2, Herzschuh, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, SMPDSv1"
"Hydrangea arborescens","Hydrangea arborescens","Hydrangea","neotoma_north_america_pollen"
"Hydrangea arguta","Hydrangea arguta","Hydrangea","neotoma_north_america_pollen"
"Hydrangeaceae","Hydrangeaceae","Hydrangeaceae","neotoma_south_america_pollen"
"Hydrophyllum","Hydrophyllum","Boraginaceae","neotoma_north_america_pollen"
"Hydrophyllum virginianum","Hydrophyllum","Boraginaceae","neotoma_north_america_pollen"
"Hymenaea","Hymenaea","Hymenaea","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Hymenaea type","Hymenaea","Hymenaea","neotoma_south_america_pollen"
"Hymenocardia","Hymenocardia","Hymenocardia","APD, Phelps, SMPDSv1"
"Hymenodictyon","Hymenodictyon","Hymenodictyon","Phelps"
"Hymenodictyon floribundum type","Hymenodictyon","Hymenodictyon","APD, SMPDSv1"
"Hymenodictyon type","Hymenodictyon","Hymenodictyon","APD"
"Hymenophyllaceae","Hymenophyllaceae","Hymenophyllaceae","australia_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen, SMPDSv1, southern_hemisphere_pollen"
"Hymenophyllum","Hymenophyllum","Hymenophyllaceae","australia_pollen, EMPDv2, IbMPD, neotoma_south_america_pollen, SMPDSv1, southern_hemisphere_pollen"
"Hymenophyllum tunbrigense","Hymenophyllum","Hymenophyllaceae","EMPDv2, SMPDSv1"
"Hymenophyllum type","Hymenophyllum","Hymenophyllaceae","neotoma_south_america_pollen"
"Hymenophyllum wilsonii","Hymenophyllum","Hymenophyllaceae","EMPDv2, SMPDSv1"
"Hymenostegia type","Hymenostegia","Hymenostegia","AMSS"
"Hyoscyamus","Hyoscyamus","Solanaceae","EMPDv2, Phelps, SMPDSv1"
"Hyoscyamus type","Hyoscyamus","Solanaceae","EMPDv2, SMPDSv1"
"Hypecoum","Hypecoum","Papaveraceae","CMPD, EMBSeCBIO, EMPDv2, SMPDSv1"
"Hypericaceae","Hypericaceae","Hypericaceae","EMPDv2, SMPDSv1"
"Hypericum","Hypericum","Hypericaceae","APD, australia_pollen, CMPD, EMBSeCBIO, EMPDv2, gaillard_pollen, IbMPD, neotoma_north_america_pollen, neotoma_south_america_pollen, Phelps, SMPDSv1"
"Hypericum hyssopifolium","Hypericum","Hypericaceae","EMBSeCBIO"
"Hypericum perforatum","Hypericum","Hypericaceae","dugerdil_pollen, neotoma_extra, SMPDSv1"
"Hypericum perforatum type","Hypericum","Hypericaceae","EMBSeCBIO, EMPDv2, IbMPD, neotoma_extra, SMPDSv1"
"Hypericum pulchrum type","Hypericum","Hypericaceae","EMPDv2, neotoma_extra, SMPDSv1"
"Hypericum type","Hypericum","Hypericaceae","EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, neotoma_south_america_pollen, SMPDSv1, tatiana_pollen"
"Hyphaene","Hyphaene","Arecaceae","Phelps"
"Hyphaene type","Hyphaene","Arecaceae","APD"
"Hypocalymma","Hypocalymma","Hypocalymma","australia_pollen"
"Hypoestes","Hypoestes","Acanthaceae","australia_pollen, Phelps"
"Hypoestes type","Hypoestes","Acanthaceae","APD, Phelps, SMPDSv1"
"Hypolepis","Hypolepis","Polypodiales","australia_pollen, neotoma_south_america_pollen"
"Hypolepis hostilis type","Hypolepis","Polypodiales","neotoma_south_america_pollen"
"Hypolepis obtusata type","Hypolepis","Polypodiales","neotoma_south_america_pollen"
"Hypolepis punctata","Hypolepis","Polypodiales","neotoma_north_america_pollen"
"Hypolepis rugosula subsp subantarctica","Hypolepis","Polypodiales","australia_pollen"
"Hypolepis type","Hypolepis","Polypodiales","neotoma_north_america_pollen, neotoma_south_america_pollen"
"Hypolytrum nemorum","Hypolytrum","Cyperaceae","australia_pollen"
"Hypoxis","Hypoxis","Hypoxidaceae","neotoma_north_america_pollen"
"Hypoxis hirsuta","Hypoxis","Hypoxidaceae","neotoma_north_america_pollen"
"Hypserpa","Hypserpa","Hypserpa","australia_pollen"
"Hypsophila","Hypsophila","Hypsophila","australia_pollen"
"Hyptis","Hyptis","Lamiaceae","APD, neotoma_north_america_pollen, neotoma_south_america_pollen"
"Hyptis type","Hyptis","Lamiaceae","neotoma_south_america_pollen, Phelps"
"Icacinaceae","Icacinaceae","Icacinaceae","CMPD, SMPDSv1"
"Ichnocarpus","Ichnocarpus","Apocynaceae","CMPD, SMPDSv1"
"Idesia","Idesia","Idesia","CMPD, SMPDSv1"
"Ilex","Ilex","Ilex","australia_pollen, CMPD, EMBSeCBIO, EMPDv2, IbMPD, japanese_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1, southern_hemisphere_pollen"
"Ilex anomala","Ilex anomala","Ilex","neotoma_north_america_pollen"
"Ilex aquifolium","Ilex aquifolium","Ilex","EMPDv2, IbMPD, SMPDSv1"
