"site.id","site.name","latitude","longitude","dataset.id","dataset.type","age.oldest","age.youngest","...9","id","pub.type","year","citation","contact.id","order","contact.name"
16177,"Lake Onoz",46.476111,5.654167,25009,"pollen",NA,NA,NA,10979,"Journal Article",1995,"Magny, M. 1995. Paleohydrological changes in Jura (France), and climatic oscillations around the North Atlantic from Allerod to Preboreal. Géographie physique et Quaternaire 49(3):401-409.",NA,NA,NA
16177,"Lake Onoz",46.476111,5.654167,25009,"pollen",NA,NA,NA,10978,"Journal Article",1994,"Magny, M., and P. Ruffaldi. 1994. A palaeohydrological record of Younger Dryas from lake Onoz in Jura, France. Compte Rendu Acadadémie des Sciences Paris 319(II):459-466.",NA,NA,NA
16178,"Ceaux",46.32,0.228333,25010,"pollen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16178,"Ceaux",46.32,0.228333,25010,"pollen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16179,"Tourbière Saint-Etienne de Tinet",44.243611,6.823056,25011,"pollen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16179,"Tourbière Saint-Etienne de Tinet",44.243611,6.823056,25011,"pollen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25014,"pollen",NA,NA,NA,10982,"Book Chapter",2008,"Lespez, L., J.M. Cador, V. Carpentier, M. Clet-Pellerin, M.A. Germaine, E. Garnier, and C. Marcigny. 2008. Trajectoire des paysages des vallées normandes et gestion de l'eau du Néolithique aux enjeux de la gestion contemporaine. Pages 61-75 in s.E.S.e.A. Presses Universitaires de Franche-Comté; Annales littéraires, editor. Paysages et environnement: de la reconstitution du passé aux modèles prospectifs., Galop, D.E. edition. Annales littéraires. série Environnement, Société et Archéologie, Besançon. Besançon, France.",NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25014,"pollen",NA,NA,NA,10983,"Journal Article",1990,"Clet-Pellerin, M., M. Helluin, J. Pellerin, and C. Pareyn. 1990. Le tuf de Reviers (Calvados). Pro. Conf.: Tufs et travertins quaternaires des bassins de la Seine et de la Somme et des régions limitrophes. Bulletin du Centre de Géomorphologie, Caen 38:199-213.",NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25014,"pollen",NA,NA,NA,10981,"Journal Article",2005,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, and M. Fontugne. 2005. Discontinuités longitudinales des dynamiques sédimentaires holocènes dans les petites vallées de l'Ouest du Bassin Parisien, l'exemple de la Mue (Basse-Normandie). Quaternaire 16(4):273-298.",NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25014,"pollen",NA,NA,NA,10980,"Journal Article",2008,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, M. Fontugne, and C. Marcigny. 2008. Fluvial system evolution and environmental changes during the Holocene in the Mue valley (Western France). Geomorphology 98:55-70.",NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25016,"pollen",NA,NA,NA,10982,"Book Chapter",2008,"Lespez, L., J.M. Cador, V. Carpentier, M. Clet-Pellerin, M.A. Germaine, E. Garnier, and C. Marcigny. 2008. Trajectoire des paysages des vallées normandes et gestion de l'eau du Néolithique aux enjeux de la gestion contemporaine. Pages 61-75 in s.E.S.e.A. Presses Universitaires de Franche-Comté; Annales littéraires, editor. Paysages et environnement: de la reconstitution du passé aux modèles prospectifs., Galop, D.E. edition. Annales littéraires. série Environnement, Société et Archéologie, Besançon. Besançon, France.",NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25016,"pollen",NA,NA,NA,10983,"Journal Article",1990,"Clet-Pellerin, M., M. Helluin, J. Pellerin, and C. Pareyn. 1990. Le tuf de Reviers (Calvados). Pro. Conf.: Tufs et travertins quaternaires des bassins de la Seine et de la Somme et des régions limitrophes. Bulletin du Centre de Géomorphologie, Caen 38:199-213.",NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25016,"pollen",NA,NA,NA,10981,"Journal Article",2005,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, and M. Fontugne. 2005. Discontinuités longitudinales des dynamiques sédimentaires holocènes dans les petites vallées de l'Ouest du Bassin Parisien, l'exemple de la Mue (Basse-Normandie). Quaternaire 16(4):273-298.",NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25016,"pollen",NA,NA,NA,10980,"Journal Article",2008,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, M. Fontugne, and C. Marcigny. 2008. Fluvial system evolution and environmental changes during the Holocene in the Mue valley (Western France). Geomorphology 98:55-70.",NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25015,"pollen",NA,NA,NA,10982,"Book Chapter",2008,"Lespez, L., J.M. Cador, V. Carpentier, M. Clet-Pellerin, M.A. Germaine, E. Garnier, and C. Marcigny. 2008. Trajectoire des paysages des vallées normandes et gestion de l'eau du Néolithique aux enjeux de la gestion contemporaine. Pages 61-75 in s.E.S.e.A. Presses Universitaires de Franche-Comté; Annales littéraires, editor. Paysages et environnement: de la reconstitution du passé aux modèles prospectifs., Galop, D.E. edition. Annales littéraires. série Environnement, Société et Archéologie, Besançon. Besançon, France.",NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25015,"pollen",NA,NA,NA,10983,"Journal Article",1990,"Clet-Pellerin, M., M. Helluin, J. Pellerin, and C. Pareyn. 1990. Le tuf de Reviers (Calvados). Pro. Conf.: Tufs et travertins quaternaires des bassins de la Seine et de la Somme et des régions limitrophes. Bulletin du Centre de Géomorphologie, Caen 38:199-213.",NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25015,"pollen",NA,NA,NA,10981,"Journal Article",2005,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, and M. Fontugne. 2005. Discontinuités longitudinales des dynamiques sédimentaires holocènes dans les petites vallées de l'Ouest du Bassin Parisien, l'exemple de la Mue (Basse-Normandie). Quaternaire 16(4):273-298.",NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25015,"pollen",NA,NA,NA,10980,"Journal Article",2008,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, M. Fontugne, and C. Marcigny. 2008. Fluvial system evolution and environmental changes during the Holocene in the Mue valley (Western France). Geomorphology 98:55-70.",NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25013,"pollen",8610,6028,NA,10982,"Book Chapter",2008,"Lespez, L., J.M. Cador, V. Carpentier, M. Clet-Pellerin, M.A. Germaine, E. Garnier, and C. Marcigny. 2008. Trajectoire des paysages des vallées normandes et gestion de l'eau du Néolithique aux enjeux de la gestion contemporaine. Pages 61-75 in s.E.S.e.A. Presses Universitaires de Franche-Comté; Annales littéraires, editor. Paysages et environnement: de la reconstitution du passé aux modèles prospectifs., Galop, D.E. edition. Annales littéraires. série Environnement, Société et Archéologie, Besançon. Besançon, France.",NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25013,"pollen",8610,6028,NA,10981,"Journal Article",2005,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, and M. Fontugne. 2005. Discontinuités longitudinales des dynamiques sédimentaires holocènes dans les petites vallées de l'Ouest du Bassin Parisien, l'exemple de la Mue (Basse-Normandie). Quaternaire 16(4):273-298.",NA,NA,NA
16180,"Reviers",49.301111,-0.466667,25013,"pollen",8610,6028,NA,10980,"Journal Article",2008,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, M. Fontugne, and C. Marcigny. 2008. Fluvial system evolution and environmental changes during the Holocene in the Mue valley (Western France). Geomorphology 98:55-70.",NA,NA,NA
16181,"Cairon",49.238889,-0.449722,25018,"pollen",8535,5105,NA,10982,"Book Chapter",2008,"Lespez, L., J.M. Cador, V. Carpentier, M. Clet-Pellerin, M.A. Germaine, E. Garnier, and C. Marcigny. 2008. Trajectoire des paysages des vallées normandes et gestion de l'eau du Néolithique aux enjeux de la gestion contemporaine. Pages 61-75 in s.E.S.e.A. Presses Universitaires de Franche-Comté; Annales littéraires, editor. Paysages et environnement: de la reconstitution du passé aux modèles prospectifs., Galop, D.E. edition. Annales littéraires. série Environnement, Société et Archéologie, Besançon. Besançon, France.",NA,NA,NA
16181,"Cairon",49.238889,-0.449722,25018,"pollen",8535,5105,NA,10981,"Journal Article",2005,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, and M. Fontugne. 2005. Discontinuités longitudinales des dynamiques sédimentaires holocènes dans les petites vallées de l'Ouest du Bassin Parisien, l'exemple de la Mue (Basse-Normandie). Quaternaire 16(4):273-298.",NA,NA,NA
16181,"Cairon",49.238889,-0.449722,25018,"pollen",8535,5105,NA,10980,"Journal Article",2008,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, M. Fontugne, and C. Marcigny. 2008. Fluvial system evolution and environmental changes during the Holocene in the Mue valley (Western France). Geomorphology 98:55-70.",NA,NA,NA
16182,"Rots",49.208333,-0.480556,25019,"pollen",NA,NA,NA,10982,"Book Chapter",2008,"Lespez, L., J.M. Cador, V. Carpentier, M. Clet-Pellerin, M.A. Germaine, E. Garnier, and C. Marcigny. 2008. Trajectoire des paysages des vallées normandes et gestion de l'eau du Néolithique aux enjeux de la gestion contemporaine. Pages 61-75 in s.E.S.e.A. Presses Universitaires de Franche-Comté; Annales littéraires, editor. Paysages et environnement: de la reconstitution du passé aux modèles prospectifs., Galop, D.E. edition. Annales littéraires. série Environnement, Société et Archéologie, Besançon. Besançon, France.",NA,NA,NA
16182,"Rots",49.208333,-0.480556,25019,"pollen",NA,NA,NA,10981,"Journal Article",2005,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, and M. Fontugne. 2005. Discontinuités longitudinales des dynamiques sédimentaires holocènes dans les petites vallées de l'Ouest du Bassin Parisien, l'exemple de la Mue (Basse-Normandie). Quaternaire 16(4):273-298.",NA,NA,NA
16182,"Rots",49.208333,-0.480556,25019,"pollen",NA,NA,NA,10980,"Journal Article",2008,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, M. Fontugne, and C. Marcigny. 2008. Fluvial system evolution and environmental changes during the Holocene in the Mue valley (Western France). Geomorphology 98:55-70.",NA,NA,NA
